dram
202
200
198
200
204
200
198
202
200
204
198
202
200
206
198
204
202
200
204
204
202
200
198
202
958
202
200
202
200
202
200
200
200
198
200
198
202
202
202
200
202
198
198
200
204
200
202
200
202
204
196
202
202
202
202
200
202
198
204
198
198
198
200
200
200
746
198
198
198
200
198
200
202
202
200
200
200
200
200
202
200
198
200
202
202
198
202
202
204
200
200
200
200
198
202
200
202
200
202
200
204
202
202
198
200
996
202
198
200
202
194
194
194
192
192
194
192
192
190
194
192
192
192
192
196
192
198
194
194
192
194
194
194
194
200
190
190
190
190
192
192
192
194
192
194
194
190
752
196
196
190
190
190
190
194
194
196
194
196
192
194
200
194
196
194
194
192
196
192
194
192
192
196
192
194
194
196
196
194
194
194
198
194
192
194
194
192
190
866
194
196
194
192
194
194
194
196
192
192
192
192
192
192
194
194
192
192
192
196
192
192
194
196
192
194
194
192
192
196
194
192
192
196
194
196
190
194
194
192
784
196
196
194
196
194
194
192
194
192
192
190
194
192
190
190
190
194
194
194
194
192
198
194
194
194
196
190
190
190
190
190
190
196
192
192
192
192
190
194
192
994
192
192
192
190
190
190
190
194
192
194
192
194
192
194
192
196
196
192
192
192
192
194
194
192
198
192
196
194
192
198
192
196
194
194
196
192
196
192
192
196
952
192
192
194
194
194
192
198
194
194
200
194
192
192
194
194
194
194
194
194
194
194
194
192
190
196
192
196
192
192
190
190
190
190
192
190
190
190
190
192
194
1012
190
190
194
194
196
194
194
194
194
194
196
192
194
192
190
190
190
190
190
190
190
190
192
196
192
192
200
194
194
192
196
192
194
192
198
192
196
194
194
196
986
192
194
194
192
196
196
196
192
196
192
196
192
194
194
192
192
196
194
192
192
192
194
194
192
192
196
194
194
194
194
196
192
194
194
194
192
196
194
194
192
876
192
196
194
196
192
196
194
194
194
192
196
192
194
194
192
196
194
198
196
192
192
192
194
194
196
194
192
192
192
192
192
192
194
190
194
194
194
194
194
194
978
190
190
190
190
190
190
190
192
192
196
194
194
196
192
194
194
194
194
192
190
190
190
190
190
190
196
196
192
192
194
194
194
194
194
194
194
198
192
196
192
198
736
192
198
192
196
194
196
192
192
196
194
194
198
194
194
194
194
192
192
192
198
198
192
198
196
196
196
194
194
192
194
192
190
190
190
190
190
190
190
190
192
866
194
190
190
192
194
194
194
194
194
196
190
190
190
190
192
190
192
190
190
190
190
190
190
190
190
194
192
192
192
192
192
192
192
192
192
190
190
192
194
194
1006
194
194
194
196
192
196
192
194
192
194
196
196
196
192
196
194
192
196
192
196
192
192
196
194
198
196
192
198
194
198
192
192
196
194
196
192
196
194
196
196
846
192
194
194
194
194
192
198
192
194
200
194
192
194
194
192
196
192
192
192
196
192
194
194
194
194
194
194
194
196
194
194
194
196
192
196
196
192
192
194
192
876
198
190
190
196
192
192
192
192
192
192
192
192
192
196
190
190
192
190
190
190
190
194
192
190
190
190
190
190
192
194
194
194
196
192
194
194
194
192
190
190
190
748
190
196
190
190
190
196
196
192
194
194
192
192
198
190
196
194
192
198
194
192
192
200
194
194
194
192
192
198
194
198
192
192
194
194
194
192
198
194
192
194
828
190
190
190
190
190
190
190
194
194
194
196
194
194
196
192
194
196
190
190
190
190
190
190
194
192
194
192
194
192
194
192
194
192
192
192
192
192
192
192
192
192
736
194
196
192
194
194
192
192
192
190
198
192
192
198
192
196
194
194
194
192
194
194
192
196
194
192
194
194
194
194
194
192
196
194
194
194
196
192
196
192
194
810
196
196
194
196
194
196
194
194
194
194
194
192
194
196
194
194
194
192
194
192
192
194
194
196
194
194
194
194
194
194
194
192
194
198
192
192
192
198
194
196
858
192
196
194
196
194
194
194
194
192
200
194
194
194
194
194
194
194
196
192
194
192
190
190
190
190
190
190
190
190
194
192
192
192
190
190
190
190
196
194
194
196
750
200
190
190
190
190
190
192
194
194
192
194
194
194
194
198
192
192
194
190
190
190
196
196
198
194
194
194
196
196
192
194
194
198
198
194
194
194
194
196
194
838
192
196
194
192
198
196
194
192
196
194
194
194
194
194
194
194
194
194
194
194
194
190
190
190
190
192
192
190
