l3
746
388
398
386
386
388
388
406
392
384
392
388
386
390
388
390
390
390
388
388
386
386
388
404
382
390
392
382
392
392
310
676
542
544
680
676
542
534
546
532
538
538
536
540
532
534
532
668
546
534
534
674
690
422
544
552
424
414
408
408
560
544
412
410
438
416
420
544
410
544
408
408
414
416
418
552
406
418
408
544
538
406
414
414
408
414
546
412
550
404
408
404
544
414
544
544
554
552
406
404
686
414
556
416
172
184
548
564
418
552
168
542
558
692
418
406
540
412
400
410
546
546
544
554
418
418
546
408
420
676
550
418
554
546
400
416
410
414
408
540
412
406
546
816
538
674
534
532
674
532
672
676
544
538
534
686
1268
536
540
544
540
544
542
542
686
532
674
540
674
536
672
530
684
542
534
676
540
538
538
680
542
532
536
680
670
530
530
536
494
540
540
536
544
538
544
678
664
530
534
672
672
532
670
674
304
530
1266
534
540
534
540
668
542
530
534
542
536
672
676
668
676
678
666
670
532
672
392
384
526
386
384
526
384
1082
558
534
388
388
384
384
390
392
390
388
388
392
392
394
382
390
1054
386
392
668
392
386
304
380
400
390
390
524
392
384
392
524
388
386
394
528
384
982
528
386
520
524
526
1362
520
384
390
528
518
388
378
384
386
1072
528
526
382
532
386
382
386
388
392
518
382
306
390
386
520
388
522
406
392
382
380
390
384
390
392
384
390
574
382
520
520
382
528
386
544
530
530
956
694
694
686
534
548
542
542
670
542
532
676
538
542
546
546
544
538
678
690
556
692
540
552
544
540
538
534
534
536
682
534
534
456
540
534
544
530
532
540
534
542
534
540
532
542
534
532
534
536
542
536
542
542
538
534
528
532
536
1274
532
532
534
532
530
1468
536
534
1288
548
536
538
536
540
542
534
532
534
530
534
532
534
676
536
532
538
540
536
530
536
532
696
546
542
530
536
540
534
542
532
534
540
532
540
1464
532
540
540
534
534
542
530
542
540
532
532
534
536
670
676
680
670
680
442
672
670
546
538
670
668
540
542
532
552
554
544
534
542
534
532
534
674
534
1264
532
532
670
540
298
542
530
542
544
540
532
528
1354
536
678
538
538
304
300
534
544
540
532
530
532
542
666
540
534
558
534
532
674
544
300
538
544
1024
820
682
534
536
1404
436
830
678
540
544
540
536
1338
532
534
542
542
534
790
534
536
312
536
534
536
548
532
534
540
546
530
532
530
532
540
534
534
540
534
530
684
534
534
532
686
534
536
538
540
532
534
532
536
542
540
536
534
558
532
682
538
536
1268
542
530
538
530
534
536
676
530
544
542
532
540
1186
1262
532
670
534
1180
674
542
532
540
542
534
540
538
532
976
684
534
536
542
534
534
672
534
532
532
534
550
534
1260
540
540
530
554
534
542
540
530
538
540
554
688
536
536
536
532
540
538
540
530
534
540
536
530
534
536
540
536
538
534
666
534
542
532
672
532
538
534
530
542
670
542
540
528
546
538
538
532
540
682
536
534
680
534
532
536
536
536
530
536
540
536
536
678
672
538
532
530
672
670
530
538
532
686
682
684
1042
828
1310
674
668
682
536
532
536
532
534
538
540
538
306
534
534
532
540
554
536
682
534
538
530
534
536
536
540
536
534
534
528
534
532
532
532
534
538
536
532
680
534
542
540
686
532
538
534
532
532
546
532
536
536
530
532
682
536
1196
540
544
536
540
538
534
536
392
400
538
546
1088
540
532
540
534
532
530
540
532
534
536
530
532
542
532
540
536
538
528
530
834
826
676
686
684
684
686
682
674
672
682
682
676
676
680
680
536
538
540
532
540
540
688
386
538
542
542
536
538
536
680
548
538
544
554
532
540
544
552
544
544
540
534
546
540
530
536
544
530
534
536
534
528
532
534
532
530
534
532
538
532
538
532
542
546
538
534
538
532
534
532
540
530
548
542
542
532
542
536
536
530
544
532
538
542
542
534
536
534
534
540
832
822
684
690
688
692
698
690
1606
692
688
692
696
1470
680
680
738
690
694
692
1480
692
1630
692
824
688
686
1480
548
534
548
684
542
538
544
536
536
396
428
388
388
390
396
388
302
390
384
388
392
386
526
392
394
396
388
390
396
308
386
390
382
388
526
390
388
392
390
390
386
396
392
930
386
398
300
390
386
392
402
394
392
410
1044
404
392
396
394
394
392
392
388
688
690
684
832
1492
1482
704
696
682
698
696
544
554
544
538
682
544
544
552
388
542
394
386
388
398
540
690
542
544
532
696
546
538
548
560
532
544
546
542
